182,14
183,11
183,12
183,13
183,14
183,15
184,6
184,7
184,9
184,10
184,11
184,12
184,13
184,14
184,15
185,5
185,6
185,7
185,9
185,10
185,11
185,12
185,13
185,14
186,5
186,6
186,8
186,9
186,10
186,11
186,12
186,13
187,2
187,3
187,4
187,5
187,6
187,7
187,8
187,9
187,10
187,11
187,12
187,13
188,-1
188,1
188,2
188,3
188,4
188,5
188,6
188,7
188,8
188,9
188,10
188,11
188,12
188,13
189,-2
189,-1
189,0
189,1
189,2
189,3
189,4
189,5
189,6
189,7
189,8
189,9
189,10
189,11
189,12
190,-5
190,-4
190,-3
190,-2
190,-1
190,0
190,1
190,2
190,3
190,4
190,5
190,6
190,7
190,8
190,9
190,10
191,-6
191,-5
191,-4
191,-3
191,-1
191,0
191,1
191,2
191,3
191,4
191,5
191,6
191,7
191,8
191,9
191,10
192,-8
192,-7
192,-6
192,-5
192,-3
192,-2
192,-1
192,0
192,1
192,2
192,3
192,4
192,5
192,6
192,7
192,8
192,9
193,-9
193,-8
193,-7
193,-5
193,-4
193,-3
193,-2
193,-1
193,0
193,1
193,2
193,3
193,4
193,5
193,6
193,7
194,-11
194,-10
194,-9
194,-7
194,-6
194,-5
194,-4
194,-3
194,-2
194,-1
194,0
194,1
194,2
194,3
194,4
194,5
194,6
194,7
195,-11
195,-9
195,-8
195,-7
195,-6
195,-5
195,-4
195,-3
195,-2
195,-1
195,0
195,1
195,2
195,3
195,4
195,5
195,6
196,-14
196,-10
196,-9
196,-8
196,-7
196,-6
196,-5
196,-4
196,-3
196,-2
196,-1
196,0
196,1
196,2
196,3
196,4
196,5
196,6
197,-15
197,-14
197,-11
197,-10
197,-9
197,-8
197,-7
197,-6
197,-5
197,-4
197,-3
197,-2
197,-1
197,0
197,1
197,2
197,3
197,4
198,-12
198,-11
198,-10
198,-9
198,-8
198,-7
198,-6
198,-5
198,-4
198,-3
198,-2
198,-1
198,0
198,1
198,2
198,3
199,-13
199,-12
199,-11
199,-10
199,-9
199,-8
199,-7
199,-6
199,-5
199,-4
199,-3
199,-2
199,-1
199,0
199,1
199,2
199,3
200,-15
200,-14
200,-13
200,-12
200,-11
200,-10
200,-9
200,-8
200,-7
200,-6
200,-5
200,-4
200,-3
200,-2
200,-1
200,0
200,1
200,2
200,3
201,-16
201,-15
201,-14
201,-13
201,-12
201,-11
201,-10
201,-9
201,-8
201,-7
201,-6
201,-5
201,-4
201,-3
201,-2
201,-1
201,0
201,1
201,2
201,3
202,-18
202,-17
202,-16
202,-15
202,-14
202,-13
202,-12
202,-11
202,-10
202,-9
202,-8
202,-7
202,-6
202,-5
202,-4
202,-3
202,-2
202,-1
202,0
202,1
202,2
202,3
203,-19
203,-18
203,-17
203,-16
203,-15
203,-14
203,-13
203,-12
203,-11
203,-10
203,-9
203,-8
203,-7
203,-6
203,-5
203,-4
203,-3
203,5
203,6
203,7
204,-18
204,-17
204,-16
204,-15
204,-14
204,-13
204,-12
204,-11
204,-10
204,-9
204,-8
204,-7
204,-6
204,-5
204,-4
204,-3
204,2
204,6
204,7
204,8
204,15
205,-20
205,-19
205,-18
205,-17
205,-16
205,-15
205,-14
205,-13
205,-12
205,-11
205,-10
205,-9
205,-8
205,-7
205,-6
205,-5
205,-3
205,2
205,3
205,4
205,6
205,7
205,8
205,11
205,15
206,-20
206,-19
206,-18
206,-17
206,-16
206,-15
206,-14
206,-13
206,-12
206,-11
206,-10
206,-9
206,-8
206,-7
206,-6
206,0
206,1
206,3
207,-20
207,-19
207,-18
207,-17
207,-16
207,-15
207,-14
207,-11
207,-10
207,-9
207,-8
207,-7
207,-6
207,-5
207,-4
207,0
207,1
207,2
207,3
207,7
207,8
207,9
207,10
207,11
208,-20
208,-19
208,-18
208,-17
208,-16
208,-14
208,-10
208,-9
208,-8
208,-7
208,-6
208,0
208,1
